0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"This question refers to the following information.
I have, in conformity without resolve, put together some few points concerning the reformation of the Christian estate, with the intent of placing the same before the Christian nobility of the German nation. . . . It is not out of mere arrogance and perversity that I, an individual poor man, have taken upon me to address your lordships. The distress and misery that oppress all the Christian estates, more especially in Germany, have led not only myself, but every one else, to cry aloud and to ask for help. . . . These Romanists have, with great adroitness, drawn three walls around themselves, with which they have hitherto protected themselves, so that no one could reform them, whereby all Christendom has fallen terribly. . . . That the Temporal Power Has no Jurisdiction over the Spirituality . . . That No One May Interpret the Scriptures but the Pope . . . That No One May Call a Council but the Pope. . . . Let us now consider the matters which should be treated in the councils, and with which popes, cardinals, bishops, and all learned men should occupy themselves day and night. . . . It is a distressing and terrible thing to see that the head of Christendom, who boasts of being the vicar of Christ and the successor of St. Peter, lives in a worldly pomp that no king or emperor can equal. What is the use in Christendom of the people called ""cardinals""? I will tell you. In Italy and Germany there are many rich convents, endowments, fiefs, and benefices, and as the best way of getting these into the hands of Rome, they created cardinals, and gave them the sees, convents, and prelacies, and thus destroyed the service of God.
—Martin Luther, Address to the Christian Nobility of the German Nation
Which of the following reformers expressed views similar to those expressed by Martin Luther in his letter above?",Ulrich Zwingli,Sir Thomas More,Erasmus,John Wycliffe,B,False,0.10834645479917526,0.20241783559322357,0.6234908699989319,0.06571544706821442
"This question refers to the following information.
""When the Portuguese go from Macao in China to Japan, they carry much white silk, gold, musk, and porcelain: and they bring from Japan nothing but silver. They have a great carrack which goes there every year and she brings from there every year about six hundred coins: and all this silver of Japan, and two hundred thousand coins more in silver which they bring yearly out of India, they employ to their great advantage in China: and they bring from there gold, musk, silk, copper, porcelains, and many other things very costly and gilded.
When the Portuguese come to Canton in China to traffic, they must remain there but certain days: and when they come in at the gate of the city, they must enter their names in a book, and when they go out at night they must put out their names. They may not lie in the town all night, but must lie in their boats outside of the town. And, their time expired, if any man remains there, he is imprisoned.""
Ralph Fitch, an account of his travels to the Far East, 1599 C.E.
The description in the second paragraph of the procedures that Portuguese and other foreigners followed when trading in China supports which of the following inferences about trade policy in the later Ming Dynasty?",The Ming Dynasty was very supportive of and welcoming to all commercial enterprise.,The Ming Dynasty sought to regulate trade strictly to limit contact with foreigners and ease collection of taxes.,The Ming Dynasty was too busy battling pirates along its coast to pay any attention to regular merchant activity.,"The Ming Dynasty only allowed Portugal to trade with China through Canton, permitting only one boat a year.",B,False,0.26960068941116333,0.1273503452539444,0.5707446336746216,0.03219921141862869
"This question refers to the following information.
Is it not unity alone that can weld us into an effective force, capable of creating our own progress and making our valuable contribution to world peace? Which independent African state will claim that its financial structure and banking institutions are fully harnessed to its national development? Which will claim that its material resources and human energies are available for its own national aspirations? We are fast learning that political independence is not enough to rid us of the consequences of colonial rule. We have been too busy nursing our separate states to understand fully the basic need for union, rooted in common purpose, common planning and common endeavour.
Ghana's president, Kwame Nkrumah, addressing the Organization of African Unity, 1963
The speaker in the passage above is espousing which of the following causes?",Nationalism,Socialism,Pan-Africanism,Neocolonialism,C,True,0.057621248066425323,0.03494905307888985,0.9013479948043823,0.00607323506847024
"This question refers to the following information.
By what principle of reason then, should these foreigners send in return a poisonous drug? Without meaning to say that the foreigners harbor such destructive intentions in their hearts, we yet positively assert that from their inordinate thirst after gain, they are perfectly careless about the injuries they inflict upon us! And such being the case, we should like to ask what has become of that conscience which heaven has implanted in the breasts of all men? We have heard that in your own country opium is prohibited with the utmost strictness and severity. This is a strong proof that you know full well how hurtful it is to mankind. Since you do not permit it to injure your own country, you ought not to have this injurious drug transferred to another country, and above all others, how much less to the Inner Land! Of the products which China exports to your foreign countries, there is not one which is not beneficial to mankind in some shape or other.
Lin Zexu, Chinese trade commissioner, letter to Queen Victoria, 1839
On which of the following arguments does the author of the passage principally base his appeal?",It is hypocritical to sell one country a substance banned as harmful in one's own.,Confucian teachings forbid the use of all narcotics as inherently immoral.,Addiction is causing China to suffer an unfavorable balance of trade.,Britain is unwise to risk the wrath of a militarily more powerful state.,A,True,0.6363950967788696,0.20660722255706787,0.14199894666671753,0.014966578222811222
"This question refers to the following information.
""My little homestead in the city, which I recently insured for ￡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
A historian researching nineteenth-century conflicts in South Africa would most likely find this letter a useful source for information about which of the following?",The diffusion of cultural practices throughout South Africa,Economic boons present in British colonies,Daily challenges of Afrikaners during the colonial period,Unforeseen consequences of British imperialism,D,False,0.16609391570091248,0.16609391570091248,0.6569141745567322,0.010618028230965137
"This question refers to the following information.
""In Northern India the existence of separate States at this period is usually little more than a question of words. A zamindar who paid revenue to the Mogul was clearly in a position of dependence, and if he wished to establish a claim to sovereignty, the first step was to refuse, or omit to pay revenue. Such an omission might, however, arise from various other causes, and it is probable that in Rajputana, Central India, and Chota Nagpur there were numerous chiefs and tribes occupying what constitutional lawyers would regard as an anomalous position, sometimes paying the stipulated revenue, sometimes in open rebellion, and sometimes enjoying practical independence because the Mogul authorities found it inconvenient to undertake active measures of coercion.""
W.H. Moreland, India at the Death of Akbar, 1920
Zamindars had an ability ""to establish a claim to sovereignty"" largely due to the Mughal Empire's policy of",religious toleration,universal taxation,martial law,suffrage,A,False,0.05173688009381294,0.12411033362150192,0.8093010187149048,0.014822864904999733
"This question refers to the following information.
Yi Yin sacrificed to the former king, and presented the heir-king reverently before the shrine of his grandfather. . . . Yi Yin then clearly described the virtue of the Meritorious Ancestor for the instruction of the young king.
""Oh! of old the former kings of Xia cultivated earnestly their virtue, and then there were no calamities from Heaven. The spirits of the hills and rivers were all in tranquility; and the birds and beasts enjoyed their existence according to their nature. But their descendant did not follow their example, and Heaven sent down calamities, using our ruler, who possessed of its favor. The attack on Xia may be traced to the orgies in Ming Tiao. . . . Our king of Shang brilliantly displayed his sagely prowess; for oppression he substituted his generous gentleness. Now your Majesty is entering on the inheritance of his virtue; all depends on how you commence your reign.
""Oh! the former king began with careful attention to the bonds that hold men together. . . . Revere these warnings in your person. . . . The ways of Heaven are not invariable: on the good-doer it sends down all blessings, and on the evil-doer it sends down all miseries. If you not be virtuous, be it in large things or in small, it will bring the ruin of your ancestral temple.""
—Excerpted and adapted from the Shu Jing, 6th century BCE, China
What does the phrase below tell us about the ruler?",He had the Mandate of Heaven.,He was an absolute monarch.,He had lost the blessing of the gods.,He was killed as a result of natural disasters.,A,True,0.46828413009643555,0.22120177745819092,0.28402867913246155,0.026418784633278847
"This question refers to the following information.
But the decline of Rome was the natural and inevitable effect of immoderate greatness. Prosperity ripened the principle of decay; the causes of destruction multiplied with the extent of conquest; and, as soon as time or accident had removed the artificial supports, the stupendous fabric yielded to the pressure of its own weight. . . . The victorious legions, who, in distant wars, acquired the vices of strangers and mercenaries, first oppressed the freedom of the republic, and afterwards violated the majesty of the purple. The emperors, anxious for their personal safety and the public peace, were reduced to the base expedient of corrupting the discipline which rendered them alike formidable to their sovereign and to the enemy; the vigour of the military . . . was relaxed . . . ; and the Roman world was overwhelmed by a deluge of Barbarians.
—Adapted from Decline and Fall of the Roman Empire, by Edward Gibbon
Most classical empires shared which of the following traits?",They required the cultural assimilation of conquered peoples to limit diversity within the empire.,They provided state support of foreign religions to improve support of the government.,They embarked on widespread public works projects to integrate their empires.,They had government bureaucracies based on the merit principle.,C,False,0.525085985660553,0.2480330765247345,0.19316837191581726,0.03356762230396271
"This question refers to the following information.
""The Romanists have, with great adroitness, drawn three walls round themselves, with which they have hitherto protected themselves, so that no one could reform them, whereby all Christendom has fallen terribly.
Firstly, if pressed by the temporal power, they have affirmed and maintained that the temporal power has no jurisdiction over them, but, on the contrary, that the spiritual power is above the temporal.
Secondly, if it were proposed to admonish them with the Scriptures, they objected that no one may interpret the Scriptures but the Pope.
Thirdly, if they are threatened with a council, they pretend that no one may call a council but the Pope…
…The second wall is even more tottering and weak: that they alone pretend to be considered masters of the Scriptures; although they learn nothing of them all their life. They assume authority, and juggle before us with impudent words, saying that the Pope cannot err in matters of faith, whether he be evil or good, albeit they cannot prove it by a single letter. That is why the canon law contains so many heretical and unchristian, nay unnatural, laws; but of these we need not speak now. For whereas they imagine the Holy Ghost never leaves them, however unlearned and wicked they may be, they grow bold enough to decree whatever they like. But were this true, where were the need and use of the Holy Scriptures? Let us burn them, and content ourselves with the unlearned gentlemen at Rome, in whom the Holy Ghost dwells, who, however, can dwell in pious souls only. If I had not read it, I could never have believed that the devil should have put forth such follies at Rome and find a following.""
Martin Luther, Address to the Nobility of the German Nation, 1520
How is the ""temporal power"" mentioned in the passage best understood contextually?",A clerical or ecclesiastical authority,A legal or scholarly authority,A state or secular authority,A business or economic authority,C,True,0.1564723402261734,0.13808633387088776,0.7012603282928467,0.004169846419245005
"This question refers to the following information.
Literacy rates among the Russian-speaking population of late Imperial Russia and the Soviet Union, 1897–1955
Literacy Rate
1897  24%
1917  45%
1926  56%
1937  75%
1939  81.10%
1955  99.90%
Source: Census data and Soviet Ministry of Education
Which of the following segments of the Russian/Soviet population would probably have benefited most from the rising literacy rates depicted in the chart?",The rural peasantry,Members of the Russian Orthodox clergy,The urban middle class,Officers in the armed forces,A,False,0.26724764704704285,0.05963100492954254,0.6410937309265137,0.031918179243803024
"This question refers to the following information.
O ye who believe! Strong drink and games of chance and idols… are only an infamy of Satan's handiwork. Leave it aside in order that ye may succeed.
the Qur'an, Sura 5: 89
When once you hear the roses are in bloom,
Then is the time, my love, to pour the wine.
the Rubáiyát of Omar Khayyám
A comparison of both verses would best support which of the following conclusions?",Many Muslims inclined toward atheism in the premodern era.,Religious restrictions were not universally observed by all Muslims.,Christian missionaries were steadily winning converts among Muslim populations.,Muslim intellectuals were generally hostile to traditional religious practice.,B,False,0.09609640389680862,0.15843619406223297,0.7100617289543152,0.035351891070604324
"This question refers to the following information.
""The real grievance of the worker is the insecurity of his existence; he is not sure that he will always have work, he is not sure that he will always be healthy, and he foresees that he will one day be old and unfit to work. If he falls into poverty, even if only through a prolonged illness, he is then completely helpless, exam_ins to his own devices, and society does not currently recognize any real obligation towards him beyond the usual help for the poor, even if he has been working all the time ever so faithfully and diligently. The usual help for the poor, however, leaves a lot to be desired, especially in large cities, where it is very much worse than in the country.""
Otto von Bismarck, 1884
How would twentieth-century economist John Maynard Keynes suggest that society address Otto von Bismarck's evaluation of workers in Germany?",Keynes would recommend government intervention in order to maintain aggregate demand.,"Keynes would suggest helping elderly workers, but claim that the government should not intervene in most circumstances.",Keynes would caution against government intervention in personal economic matters.,Keynes would advocate doing nothing because he felt poverty in rural areas was actually more severe than it was in cities.,A,False,0.24689258635044098,0.08015428483486176,0.5922645330429077,0.08015428483486176
"This question refers to the following information.
Seizing me, he led me down to the House of Darkness…
To the house where those who enter do not come out,
Along the road of no return,
To the house where those who dwell, do without light,
Where dirt is their drink, their food is of clay…
Where light cannot be seen. They dwell in the dark,
And upon the door and bolt, there lies dust.
from Tablet VII, The Epic of Gilgamesh, Sumeria, ca. 2100 B.C.E.
Truth is good and its worth is lasting.
It has not been disturbed since the day of its creator,
Whereas he who transgresses its ordinances is punished.
It lies as a path in front of even him who knows nothing.
Wrongdoing has never yet brought its venture to port…
Those whom the gods guide cannot lose themselves.
Those to whom they forbid passage will not be able to cross the river of life.
from The Maxims of Ptahhotep, Egypt, ca. 2400 B.C.E.
The two texts best support which of the following conclusions?",Ancient Egyptians had a less gloomy view of the afterlife than ancient Sumerians.,Ancient Egyptians were more inclined than ancient Sumerians to view political obedience as morally proper.,Ancient Egyptians were more patriarchal in their gender relations than ancient Sumerians.,Ancient Egyptians suffered under a more rigid social hierarchy than ancient Sumerians.,A,False,0.17886966466903687,0.2949061989784241,0.48621809482574463,0.03991121053695679
"This question refers to the following information.
""When the gods fashioned Gilgamesh*, to him they gave a perfect form. The glorious sun Shamash bestowed upon him glory; Adad the terrible god of storms bestowed upon him courage. The great gods perfected his magnificence beyond all others, terrible like the great wild bull. Two thirds god they made him; one third man they made him.
Of Uruk, its great rampart he built, and the wall of the sacred Eanna temple, the holy sanctuary. Behold the outer walls which gleam with the brilliance of copper; see the inner wall which none might rival. Touch the threshold stone—it is from ancient days. Goest thou into the Eanna temple, yea, the dwelling place of Ishtar, the like of which no subsequent king or living man might equal. Ascend and walk about on the wall of Uruk, inspect the corner-stone, and examine its brick-work, whether its wall is not made of burned brick, and its foundation laid by the Seven Sages. One third for city, one third for garden, one third for field, and a precinct for the temple of Ishtar. These parts and the precinct comprise Uruk.""
The Epic of Gilgamesh, ca. 2100 B.C.E.
*Gilgamesh was a king of Uruk.
Which of the following best describes the origins of epic poetry such as the Epic of Gilgamesh?",The rise of a literate class of scribes in cities who could record poems,The rise of a merchant class in cities who could sponsor the creation of original art,The rise of a religious caste dedicated to solely recording the deeds of God-Kings,The rise of a warrior elite whose deeds were worthy of praise and recording,A,True,0.5323829650878906,0.1728394478559494,0.28496408462524414,0.009750934317708015
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
Which of the following does the poem provide direct evidence for in its discussion of taxation in the third stanza?",The Tang Dynasty's strong bureaucracy at the local level,"The Tang Dynasty's large, standing professional army with no need of conscription",Relatively advanced Tang agricultural technologies,The relatively high level of urbanization in Tang China,A,True,0.41225606203079224,0.15166054666042328,0.36381471157073975,0.07163935899734497
"This question refers to the following information.
""When the Portuguese go from Macao in China to Japan, they carry much white silk, gold, musk, and porcelain: and they bring from Japan nothing but silver. They have a great carrack which goes there every year and she brings from there every year about six hundred coins: and all this silver of Japan, and two hundred thousand coins more in silver which they bring yearly out of India, they employ to their great advantage in China: and they bring from there gold, musk, silk, copper, porcelains, and many other things very costly and gilded.
When the Portuguese come to Canton in China to traffic, they must remain there but certain days: and when they come in at the gate of the city, they must enter their names in a book, and when they go out at night they must put out their names. They may not lie in the town all night, but must lie in their boats outside of the town. And, their time expired, if any man remains there, he is imprisoned.""
Ralph Fitch, an account of his travels to the Far East, 1599 C.E.
In addition to the sources of silver mentioned in the first paragraph, the greatest volume of additional silver came to China from which of the following regions?",Central Asia,Europe,The Middle East,The New World,D,False,0.1687428504228592,0.05478278174996376,0.7562529444694519,0.020153457298874855
"This question refers to the following information.
But the decline of Rome was the natural and inevitable effect of immoderate greatness. Prosperity ripened the principle of decay; the causes of destruction multiplied with the extent of conquest; and, as soon as time or accident had removed the artificial supports, the stupendous fabric yielded to the pressure of its own weight. . . . The victorious legions, who, in distant wars, acquired the vices of strangers and mercenaries, first oppressed the freedom of the republic, and afterwards violated the majesty of the purple. The emperors, anxious for their personal safety and the public peace, were reduced to the base expedient of corrupting the discipline which rendered them alike formidable to their sovereign and to the enemy; the vigour of the military . . . was relaxed . . . ; and the Roman world was overwhelmed by a deluge of Barbarians.
—Adapted from Decline and Fall of the Roman Empire, by Edward Gibbon
The reasons given in the above passage for the fall of the Roman Empire could also be applied to which other classical empires?",Tang and Ottoman,Ming and Aztec,Han and Gupta,Qin and Etruscan,C,True,0.10783180594444275,0.25867506861686707,0.6205292344093323,0.012878673151135445
"This question refers to the following information.
Woman, wake up; the bell of reason is being heard throughout the whole universe; discover your rights. Enslaved man has multiplied his strength, [but] having become free, he has become unjust to his companion. Oh, women, women! When will you cease to be blind? What advantage have you received from the Revolution? A more pronounced scorn, a more marked disdain. If our leaders persist, courageously oppose the force of reason to their empty pretentions of superiority. Regardless of what barriers confront you, it is in your power to free yourselves!
Olympe de Gouges, ""Declaration of the Rights of Woman and the Female Citizen,"" 1791
The independence? Nothing of what I hoped for was achieved. I had expected that my children would be able to have an education, but they did not get it. We were poor peasants then, we are poor peasants now. Nothing has changed. Everything is the same. The only thing is that we are free, the war is over, we work without fear—but apart from that, nothing has changed.
Halima Ghomri, interviewed in the 1970s, after Algeria's war of independence
Which of the following factors is likeliest to have prevented the sort of progress hoped for by the speaker in the second passage?",Failure to eradicate Islamic traditionalism,Lack of industrial assets or infrastructure,Hostility to women's rights on the part of new elites,Prioritization of national liberation over social reform,D,False,0.06787280738353729,0.07690996676683426,0.8268600702285767,0.02829359471797943
"This question refers to the following information.
""And then Shapur, King of Kings, passed away. Then his son Hormizd, King of Kings, rose over the empire. And Hormizd, King of Kings, conferred on me cap and belt and created for me a higher rank and dignity, and at court and in kingdom after kingdom, place after place, throughout the whole empire he gave me more authority and power in matters of the divine services, and created for me the title ""Kerdir, Ahura Mazda's [Chief Priest]"" after the name of Ahura Mazda, the Deity. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence, and many Warham fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And then Hormizd, King of Kings, passed away. Then Bahram, King of Kings, son of Shapur, King of Kings, and brother of Hormizd, King of Kings, rose over the empire. And Bahram, King of Kings, also held me in high honor and dignity and at court and in kingdom after kingdom, place after place, gave me authority and power for divine services of every sort. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence and many Warharan fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And in kingdom after kingdom and place after place throughout the whole empire the services of Ahura Mazda and the gods became preeminent, and great dignity came to the Mazdayanian religion and the magi in the empire, and the gods and water and fire and small cattle in the empire attained great satisfaction, while Ahriman [the evil counterpart to Ahura Mazda] and the demons were punished and rebuked, and the teachings of Ahriman and the demons departed from the empire and were abandoned. And Jews, Buddhists, Hindus, Nasoreans [Orthodox Christians], Christians, Maktak [Baptists], and Manichaeans in the empire were smitten, and destruction of idols and scattering of the stores of the demons and god-seats and nests was abandoned.""
Excerpt from the inscription of Kerdir at Naqsh-e-Rustam, Persia, late third century C.E.
The source best supports which of the following inferences about sources of political authority in the period circa 600 B.C.E.–600 C.E.?",Rulers derived legitimacy for their rule by their sponsorship of religion and chief priests.,Rulers were limited in their political authority by powerful religious figures.,Rulers derived legitimacy for their rule through victories over foreign peoples.,Rulers derived legitimacy for their rule through the consent of those they governed.,A,True,0.4647633135318756,0.28189319372177124,0.24876989424228668,0.004556379746645689
"This question refers to the following information.
""Al-Zawawi also said 'This sultan Musa told me that at a town called ZKRY he has a copper mine from which ingots are brought to BYTY. ""There is nothing in my kingdom, Musa said, on which a duty is levied except this crude copper which is brought in. Duty is collected on this and on nothing else. We send it to the land of the pagan Sudan and sell it for two-thirds of its weight in gold, so that we sell 100 measures of this copper for 66 2/3 measures of gold.' He also stated that there are pagan nations in his kingdom from whom he does not collect the tribute (jizya) but whom he simply employs in extracting the gold from its deposits. The gold is extracted by digging pits about a man's height in depth and the gold is found embedded in the sides of the pits or sometimes collected at the bottom of them.""
From N. Levtzion & J.F.P. Hopkins, eds. Corpus of Early
Arabic Sources for West African History. Cambridge
University Press, 1981. Reprinted with permission of
Cambridge University Press.
Al' Umari, ca. 1300–1384
Based on your knowledge of world history and the passage, Mansa Musa's assertion about the lack of duties levied on goods in his kingdom most strongly reflects which of the following about the kingdom of Mali?",Mali's wealth came in large part from its exploitation of minerals.,Mali's wealth came in large part from its conquest of pagan neighbors.,Mali's wealth came in large part from large agricultural estates.,Mali's wealth came in large part from the exploitation of the slave trade.,A,True,0.4827685058116913,0.3318016231060028,0.17760063707828522,0.007803226355463266
"This question refers to the following information.
""When the Portuguese go from Macao in China to Japan, they carry much white silk, gold, musk, and porcelain: and they bring from Japan nothing but silver. They have a great carrack which goes there every year and she brings from there every year about six hundred coins: and all this silver of Japan, and two hundred thousand coins more in silver which they bring yearly out of India, they employ to their great advantage in China: and they bring from there gold, musk, silk, copper, porcelains, and many other things very costly and gilded.
When the Portuguese come to Canton in China to traffic, they must remain there but certain days: and when they come in at the gate of the city, they must enter their names in a book, and when they go out at night they must put out their names. They may not lie in the town all night, but must lie in their boats outside of the town. And, their time expired, if any man remains there, he is imprisoned.""
Ralph Fitch, an account of his travels to the Far East, 1599 C.E.
The description of the route Portuguese sailors took in the first paragraph most directly supports which of the following historical developments?",Chinese merchants' domination of East Asian trade,Competition between Dutch and Portuguese traders for markets in Japan,European participation in East Asian trade patterns,Jesuit missionary work in Japan and China,C,False,0.47159603238105774,0.19659046828746796,0.32412290573120117,0.007622640114277601
"This question refers to the following information.
""The spontaneous forces of capitalism have been steadily growing in the countryside in recent years, with new rich peasants springing up everywhere and many well-to-do middle peasants striving to become rich peasants. On the other hand, many poor peasants are still living in poverty for lack of sufficient means of production, with some in debt and others selling or renting out their land. If this tendency goes unchecked, the polarization in the countryside will inevitably be aggravated day by day. Those peasants who lose their land and those who remain in poverty will complain that we are doing nothing to save them from ruin or to help them overcome their difficulties. Nor will the well-to-do middle peasants who are heading in the capitalist direction be pleased with us, for we shall never be able to satisfy their demands unless we intend to take the capitalist road. Can the worker-peasant alliance continue to stand in these circumstances? Obviously not! There is no solution to this problem except on a new basis. And that means to bring about, step by step, the socialist transformation of the whole of agriculture simultaneously with the gradual realization of socialist industrialization and the socialist transformation of handicrafts and capitalist industry and commerce; in other words, it means to carry out co-operation and eliminate the rich-peasant economy and the individual economy in the countryside so that all the rural people will become increasingly well off together. We maintain that this is the only way to consolidate the worker-peasant alliance.""
Mao Zedong, On the Question of Agricultural Co-operation, 1955
Mao's quotation is best understood in the context of which of the following?",Governments in communist countries implementing liberal political and economic reforms to mitigate social unrest,Governments promoting collectivization of the land to reduce inequality between sectors of the population,Governments promoting policies intended to hasten industrialization,Governments promoting capitalist policies to reduce inequality between sectors of the population,B,False,0.25240594148635864,0.25240594148635864,0.4715563952922821,0.023477409034967422
"This question refers to the following information.
As for their men there is no sexual jealousy in them. And none of them derives his genealogy from his father but, on the contrary, from his maternal uncle. A man does not pass on inheritance except to the sons of his sister to the exclusion of his own sons. . . . They are Muslims keeping to the prayers, studying fiqh (Islamic jurisprudence) and learning the Qur'an by heart. With regard to their women, they are not modest in the presence of men; they do not veil themselves in spite of their perseverance in the prayers. He who wishes to marry among them can marry, but the women do not travel with the husband, and if one of them wanted to do that, she would be prevented by her family. The women there have friends and companions amongst men outside the prohibited degrees of marriage [i.e., other than brothers, fathers, etc.]. Likewise for the men, there are companions from amongst women outside the prohibited degrees. One of them would enter his house to find his wife with her companion and would not disapprove of that conduct.
—Adapted from an account by Ibn Battuta of his travels in Mali during the 1300s
What evidence is there in the passage that the Malians take their Muslim faith seriously?",The genealogy is derived from the maternal side.,They study Islamic law faithfully.,The men do not yield to sexual jealousy.,"They enjoy friendship with all, regardless of gender.",B,False,0.07735525816679001,0.34668222069740295,0.5715823769569397,0.004364084918051958
"This question refers to the following information.
""The spontaneous forces of capitalism have been steadily growing in the countryside in recent years, with new rich peasants springing up everywhere and many well-to-do middle peasants striving to become rich peasants. On the other hand, many poor peasants are still living in poverty for lack of sufficient means of production, with some in debt and others selling or renting out their land. If this tendency goes unchecked, the polarization in the countryside will inevitably be aggravated day by day. Those peasants who lose their land and those who remain in poverty will complain that we are doing nothing to save them from ruin or to help them overcome their difficulties. Nor will the well-to-do middle peasants who are heading in the capitalist direction be pleased with us, for we shall never be able to satisfy their demands unless we intend to take the capitalist road. Can the worker-peasant alliance continue to stand in these circumstances? Obviously not! There is no solution to this problem except on a new basis. And that means to bring about, step by step, the socialist transformation of the whole of agriculture simultaneously with the gradual realization of socialist industrialization and the socialist transformation of handicrafts and capitalist industry and commerce; in other words, it means to carry out co-operation and eliminate the rich-peasant economy and the individual economy in the countryside so that all the rural people will become increasingly well off together. We maintain that this is the only way to consolidate the worker-peasant alliance.""
Mao Zedong, On the Question of Agricultural Co-operation, 1955
Mao's view of the cooperation of peasant labor most directly reflects the influence of which of the following?",The ideals of communism as stated by Joseph Stalin,The ideals of the Enlightenment as stated by political revolutionaries such as Maximilian Robespierre,The ideals of classical liberalism as stated by Adam Smith,The ideals of globalization as evidenced by multinational trade blocs such as NAFTA or the European Union,A,False,0.08851142227649689,0.16536110639572144,0.7410970330238342,0.0049934727139770985
"This question refers to the following information.
""After the Tencteri came, in former days, the Bructeri; but the general account now is, that the Chamavi and Angrivarii entered their settlements, drove them out and utterly exterminated them with the common help of the [neighboring] tribes, either from hatred of their tyranny, or from the attractions of plunder, or from heaven's [favorable] regard for us. It did not even grudge us the spectacle of the conflict. More than sixty thousand fell, not beneath the Roman arms and weapons, but, grander far, before our delighted eyes. May the tribes, I pray, ever retain if not love for us, at least hatred for each other; for while the destinies of empire hurry us on, fortune can give no greater boon than discord among our foes.""
Germania, Publius Cornelius Tacitus, ca. 98 C.E.
The views expressed in the excerpt are best seen as evidence of which of the following in Roman society?",Disgust for barbarian peoples,Concern about barbarian attacks,Absence of Stoicism among the aristocracy,Maintenance of large armies,B,False,0.1980597972869873,0.224431112408638,0.5383822917938232,0.03900028392672539
"This question refers to the following information.
I have, in conformity without resolve, put together some few points concerning the reformation of the Christian estate, with the intent of placing the same before the Christian nobility of the German nation. . . . It is not out of mere arrogance and perversity that I, an individual poor man, have taken upon me to address your lordships. The distress and misery that oppress all the Christian estates, more especially in Germany, have led not only myself, but every one else, to cry aloud and to ask for help. . . . These Romanists have, with great adroitness, drawn three walls around themselves, with which they have hitherto protected themselves, so that no one could reform them, whereby all Christendom has fallen terribly. . . . That the Temporal Power Has no Jurisdiction over the Spirituality . . . That No One May Interpret the Scriptures but the Pope . . . That No One May Call a Council but the Pope. . . . Let us now consider the matters which should be treated in the councils, and with which popes, cardinals, bishops, and all learned men should occupy themselves day and night. . . . It is a distressing and terrible thing to see that the head of Christendom, who boasts of being the vicar of Christ and the successor of St. Peter, lives in a worldly pomp that no king or emperor can equal. What is the use in Christendom of the people called ""cardinals""? I will tell you. In Italy and Germany there are many rich convents, endowments, fiefs, and benefices, and as the best way of getting these into the hands of Rome, they created cardinals, and gave them the sees, convents, and prelacies, and thus destroyed the service of God.
—Martin Luther, Address to the Christian Nobility of the German Nation
In his letter, Martin Luther avoided speaking about which of the following topics?",The wealth of the church,The power of the clergy,The sale of indulgences,The political nature of the church,C,True,0.09204163402318954,0.05582607164978981,0.77065509557724,0.08122645318508148
